EX_Number,Seed,Checkpoint,Params,Train_Time,Device,Num_Examples,Epochs,Train_F1,Val_F1,Zhihu_F1,Train_loss,Val_loss,Zhihu_loss
2,0.2709,0.33652,0.330031,,2,0.284,0.342654,0.311772,,1,0.3924,0.364044,0.181304
3,0.2355,0.337285,0.382974,,3,0.254,0.333273,0.352608,,2,0.3324,0.343625,0.29253
4,0.2059,0.347204,0.384181,,4,0.2208,0.344051,0.412257,,3,0.2793,0.339144,0.354511
5,0.1792,0.359503,0.385135,,5,0.1988,0.353969,0.405573,,4,0.2604,0.342179,0.379093
6,0.1543,0.374639,0.424291,,6,0.1657,0.372158,0.432068,,5,0.2152,0.35463,0.380116
7,0.1317,0.396393,0.400477,,7,0.1489,0.38886,0.426986,,6,0.1966,0.368093,0.427092
8,0.1098,0.417156,0.403354,,8,0.117,0.41037,0.447718,,7,0.1605,0.375972,0.429683
9,0.0902,0.440166,0.433701,,9,0.0979,0.432876,0.445132,,8,0.1378,0.398141,0.423994
10,0.0739,0.460026,0.407162,,10,0.0819,0.447614,0.448589,,9,0.1148,0.408813,0.422183
11,0.0575,0.479382,0.428941,,11,0.0669,0.46464,0.450779,,10,0.0983,0.419538,0.4268
12,0.0475,0.49724,0.41944,,12,0.0574,0.48493,0.447149,,11,0.0811,0.429254,0.429801
13,0.0394,0.507658,0.428064,,13,0.0462,0.496318,0.447732,,12,0.0746,0.432366,0.425491
14,0.0318,0.517883,0.423648,,14,0.0392,0.504439,0.454338,,,,,
15,0.0265,0.524962,0.422696,,15,0.0319,0.510405,0.448324,,,,,
16,0.0244,0.52623,0.425101,,16,0.0286,0.512642,0.45493,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
seed,Checkpoint,experiment,,,seed,Checkpoint,experiment,,,,,,
5619,Roberta-base,8,,,5619,Roberta-base,6,,,,,,
Epoch,Training Loss,Validation Loss,F1,,Epoch,Training Loss,Validation Loss,F1,,,,,
1,0.3901,0.345623,0.263248,,1,0.3885,0.352571,0.235403,,,,,
2,0.3297,0.337346,0.326061,,2,0.3316,0.337695,0.28766,,,,,
3,0.279,0.337958,0.348158,,3,0.2843,0.335431,0.364609,,,,,
4,0.2482,0.334458,0.370766,,4,0.2551,0.337588,0.408663,,,,,
5,0.2122,0.347746,0.423425,,5,0.236,0.352692,0.408865,,,,,
6,0.1841,0.362842,0.421828,,6,0.1942,0.363138,0.415867,,,,,
7,0.1668,0.375505,0.4251,,7,0.1683,0.369877,0.431379,,,,,
